Year,Week_Number,mean_return,volatility
2018,33,0.3302,0.38549280148921067
2018,34,0.40940000000000004,0.5304859093321895
2018,35,-0.6435,0.479422221707199
2018,36,0.2714,0.4162172509639647
2018,37,-0.05359999999999998,0.9799279565355812
2018,38,0.1486,0.3136651080372186
2018,39,-0.6466,0.8473014811742041
2018,40,-0.7386000000000001,2.3028435248622516
2018,41,-0.11439999999999997,1.8405197092125907
2018,42,-0.7379999999999999,2.742447082442977
2018,43,0.5359999999999999,1.7268585639825862
2018,44,0.1458,1.6136147929416116
2018,45,-0.4224,1.6299629750396172
2018,46,-1.0722500000000001,1.6866446721227328
2018,47,1.1112,1.3648273517188905
2018,48,-1.23,2.5928819230089646
2018,49,-0.162,1.2828895120001567
2018,50,-1.7238,1.306526578374891
2018,51,1.0207499999999998,3.4125544073806844
2018,52,0.771,0.0
